,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
12183,flatlpa01,1992,NYI,NHL,R,80.0,13.0,47.0,60.0,63.0,5.0,1.0,2.0,15.0,2.0,7.0,9.0,12.0,0.0,0.0,0.0,Pat Flatley
12184,flatlpa01,1993,NYI,NHL,R,64.0,12.0,30.0,42.0,40.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
12185,flatlpa01,1994,NYI,NHL,R,45.0,7.0,20.0,27.0,12.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
12186,flatlpa01,1995,NYI,NHL,R,56.0,8.0,9.0,17.0,21.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
12280,floodma01,2009,NYI,NHL,D,6.0,0.0,1.0,1.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Flood
12472,fortida01,1974,NYI,NHL,D,65.0,6.0,12.0,18.0,79.0,14.0,1.0,0.0,14.0,0.0,2.0,2.0,33.0,0.0,0.0,0.0,Dave Fortier
12473,fortida01,1975,NYI,NHL,D,59.0,0.0,2.0,2.0,68.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dave Fortier
12497,fosteco01,1996,NYI,NHL,D,7.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Corey Foster
12701,fraseia01,1992,NYI,NHL,C,7.0,2.0,2.0,4.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iain Fraser
12708,fraseja02,2008,NYI,NHL,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jamie Fraser
12799,fritzmi01,2008,NYI,NHL,L,20.0,0.0,0.0,0.0,42.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitch Fritz
12958,gagnepa01,1989,NYI,NHL,L,9.0,1.0,0.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paul Gagne
12982,gagnoge01,1972,NYI,NHL,L,63.0,12.0,29.0,41.0,31.0,-24.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germain Gagnon
12983,gagnoge01,1973,NYI,NHL,L,62.0,8.0,14.0,22.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germain Gagnon
13095,gallega01,2000,NYI,NHL,D,56.0,6.0,14.0,20.0,59.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garry Galley
13551,gervabr01,2005,NYI,NHL,D,27.0,3.0,4.0,7.0,8.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Gervais
13552,gervabr01,2006,NYI,NHL,D,51.0,0.0,6.0,6.0,28.0,-10.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,Bruno Gervais
13553,gervabr01,2007,NYI,NHL,D,60.0,0.0,13.0,13.0,34.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Gervais
13554,gervabr01,2008,NYI,NHL,D,69.0,3.0,16.0,19.0,33.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Gervais
13555,gervabr01,2009,NYI,NHL,D,71.0,3.0,14.0,17.0,31.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Gervais
13556,gervabr01,2010,NYI,NHL,D,53.0,0.0,6.0,6.0,30.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno Gervais
13667,gilbegr01,1981,NYI,NHL,L,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,Greg Gilbert
13668,gilbegr01,1982,NYI,NHL,L,45.0,8.0,11.0,19.0,30.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,Greg Gilbert
13669,gilbegr01,1983,NYI,NHL,L,79.0,31.0,35.0,66.0,59.0,51.0,6.0,0.0,21.0,5.0,7.0,12.0,39.0,2.0,0.0,0.0,Greg Gilbert
13670,gilbegr01,1984,NYI,NHL,L,58.0,13.0,25.0,38.0,36.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Gilbert
13671,gilbegr01,1985,NYI,NHL,L,60.0,9.0,19.0,28.0,82.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Greg Gilbert
13672,gilbegr01,1986,NYI,NHL,L,51.0,6.0,7.0,13.0,26.0,-12.0,0.0,0.0,10.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,Greg Gilbert
13673,gilbegr01,1987,NYI,NHL,L,76.0,17.0,28.0,45.0,46.0,14.0,1.0,1.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Greg Gilbert
13674,gilbegr01,1988,NYI,NHL,L,55.0,8.0,13.0,21.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Gilbert
13793,gillicl01,1974,NYI,NHL,L,80.0,25.0,22.0,47.0,66.0,-4.0,8.0,0.0,17.0,4.0,2.0,6.0,36.0,0.0,0.0,1.0,Clark Gillies
