,year,lgID,tmID,G,W,L,T,OTL,Pts,GF,GA,name,PIM,PPG,PPC,SHA,PKG,PKC,SHF,post_G,post_W,post_L,post_T,post_GF,post_GA,post_PIM,post_PPG,post_PKG,SC_champs
209,1979,NHL,COR,80,19,48,13.0,0.0,51,234,308,Colorado Rockies,1020.0,53.0,304.0,3.0,52.0,233.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1979,NHL,DET,80,26,43,11.0,0.0,63,268,306,Detroit Red Wings,1114.0,61.0,276.0,2.0,64.0,270.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,1979,NHL,EDM,80,28,39,13.0,0.0,69,301,322,Edmonton Oilers,1528.0,61.0,282.0,4.0,74.0,315.0,11.0,3.0,0.0,3.0,0.0,6.0,12.0,55.0,1.0,2.0,0.0
212,1979,NHL,HAR,80,27,34,19.0,0.0,73,303,312,Hartford Whalers,875.0,42.0,216.0,1.0,64.0,249.0,7.0,3.0,0.0,3.0,0.0,8.0,18.0,22.0,0.0,2.0,0.0
213,1979,NHL,LAK,80,30,36,14.0,0.0,74,290,313,Los Angeles Kings,1124.0,83.0,311.0,9.0,94.0,291.0,7.0,4.0,1.0,3.0,0.0,10.0,21.0,73.0,1.0,3.0,0.0
214,1979,NHL,MNS,80,36,28,16.0,0.0,88,311,253,Minnesota North Stars,1064.0,75.0,316.0,7.0,43.0,240.0,4.0,15.0,8.0,7.0,0.0,49.0,56.0,206.0,17.0,17.0,0.0
215,1979,NHL,MTL,80,47,20,13.0,0.0,107,328,240,Montreal Canadiens,874.0,77.0,264.0,7.0,46.0,247.0,2.0,10.0,6.0,4.0,0.0,39.0,26.0,77.0,7.0,5.0,0.0
216,1979,NHL,NYI,80,39,28,13.0,0.0,91,281,247,New York Islanders,1298.0,63.0,265.0,4.0,71.0,317.0,7.0,21.0,15.0,6.0,0.0,88.0,66.0,550.0,25.0,14.0,1.0
217,1979,NHL,NYR,80,38,32,10.0,0.0,86,308,284,New York Rangers,1342.0,79.0,304.0,7.0,54.0,304.0,8.0,9.0,4.0,5.0,0.0,21.0,22.0,194.0,5.0,4.0,0.0
218,1979,NHL,PHI,80,48,12,20.0,0.0,116,327,254,Philadelphia Flyers,1844.0,44.0,270.0,7.0,79.0,381.0,15.0,19.0,13.0,6.0,0.0,78.0,53.0,530.0,16.0,23.0,0.0
219,1979,NHL,PIT,80,30,37,13.0,0.0,73,251,303,Pittsburgh Penguins,1038.0,52.0,262.0,4.0,64.0,247.0,6.0,5.0,2.0,3.0,0.0,14.0,21.0,125.0,5.0,4.0,0.0
220,1979,NHL,QUE,80,25,44,11.0,0.0,61,248,313,Quebec Nordiques,1062.0,63.0,300.0,9.0,71.0,267.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1979,NHL,STL,80,34,34,12.0,0.0,80,266,278,St. Louis Blues,1037.0,53.0,289.0,4.0,40.0,263.0,5.0,3.0,0.0,3.0,0.0,4.0,12.0,35.0,1.0,3.0,0.0
222,1979,NHL,TOR,80,35,40,5.0,0.0,75,304,327,Toronto Maple Leafs,1158.0,68.0,275.0,5.0,69.0,325.0,2.0,3.0,0.0,3.0,0.0,8.0,17.0,101.0,4.0,7.0,0.0
223,1979,NHL,VAN,80,27,37,16.0,0.0,70,256,281,Vancouver Canucks,1808.0,53.0,312.0,12.0,69.0,282.0,2.0,4.0,1.0,3.0,0.0,7.0,15.0,84.0,1.0,6.0,0.0
224,1979,NHL,WAS,80,27,40,13.0,0.0,67,261,293,Washington Capitals,1198.0,54.0,295.0,4.0,65.0,248.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,1979,NHL,WIN,80,20,49,11.0,0.0,51,214,314,Winnipeg Jets,1251.0,63.0,336.0,10.0,63.0,275.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1980,NHL,BOS,80,37,30,13.0,0.0,87,316,272,Boston Bruins,1836.0,87.0,342.0,8.0,82.0,358.0,13.0,3.0,0.0,3.0,0.0,13.0,20.0,90.0,2.0,5.0,0.0
227,1980,NHL,BUF,80,39,20,21.0,0.0,99,327,250,Buffalo Sabres,1194.0,73.0,310.0,10.0,44.0,268.0,9.0,8.0,4.0,4.0,0.0,30.0,30.0,175.0,10.0,5.0,0.0
228,1980,NHL,CAL,80,39,27,14.0,0.0,92,329,298,Calgary Flames,1450.0,81.0,301.0,12.0,70.0,364.0,8.0,16.0,9.0,7.0,0.0,55.0,60.0,365.0,17.0,19.0,0.0
229,1980,NHL,CHI,80,31,33,16.0,0.0,78,304,315,Chicago Black Hawks,1660.0,67.0,302.0,9.0,91.0,364.0,8.0,3.0,0.0,3.0,0.0,9.0,15.0,43.0,1.0,3.0,0.0
230,1980,NHL,COR,80,22,45,13.0,0.0,57,258,344,Colorado Rockies,1418.0,76.0,373.0,8.0,70.0,286.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,1980,NHL,DET,80,19,43,18.0,0.0,56,252,339,Detroit Red Wings,1687.0,60.0,316.0,12.0,82.0,317.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,1980,NHL,EDM,80,29,35,16.0,0.0,74,328,327,Edmonton Oilers,1544.0,77.0,347.0,7.0,85.0,348.0,13.0,9.0,5.0,4.0,0.0,35.0,35.0,157.0,9.0,15.0,0.0
233,1980,NHL,HAR,80,21,41,18.0,0.0,60,292,372,Hartford Whalers,1584.0,60.0,318.0,15.0,80.0,328.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1980,NHL,LAK,80,43,24,13.0,0.0,99,337,290,Los Angeles Kings,1627.0,90.0,366.0,7.0,81.0,356.0,12.0,4.0,1.0,3.0,0.0,12.0,23.0,162.0,5.0,3.0,0.0
235,1980,NHL,MNS,80,35,28,17.0,0.0,87,291,263,Minnesota North Stars,1624.0,88.0,408.0,13.0,64.0,304.0,7.0,19.0,12.0,7.0,0.0,84.0,74.0,321.0,24.0,18.0,0.0
236,1980,NHL,MTL,80,45,22,13.0,0.0,103,332,232,Montreal Canadiens,1398.0,72.0,299.0,8.0,51.0,279.0,8.0,3.0,0.0,3.0,0.0,6.0,15.0,62.0,2.0,1.0,0.0
237,1980,NHL,NYI,80,48,18,14.0,0.0,110,355,260,New York Islanders,1442.0,93.0,317.0,6.0,76.0,368.0,19.0,18.0,15.0,3.0,0.0,97.0,48.0,310.0,31.0,19.0,1.0
238,1980,NHL,NYR,80,30,36,14.0,0.0,74,312,317,New York Rangers,1981.0,63.0,351.0,12.0,83.0,392.0,14.0,14.0,7.0,7.0,0.0,60.0,56.0,402.0,11.0,18.0,0.0
239,1980,NHL,PHI,80,41,24,15.0,0.0,97,313,249,Philadelphia Flyers,2621.0,75.0,278.0,4.0,85.0,432.0,10.0,12.0,6.0,6.0,0.0,48.0,39.0,415.0,11.0,14.0,0.0
240,1980,NHL,PIT,80,30,37,13.0,0.0,73,302,345,Pittsburgh Penguins,1807.0,92.0,400.0,11.0,99.0,370.0,6.0,5.0,2.0,3.0,0.0,21.0,20.0,141.0,6.0,8.0,0.0
241,1980,NHL,QUE,80,30,32,18.0,0.0,78,314,318,Quebec Nordiques,1524.0,81.0,339.0,10.0,79.0,335.0,7.0,5.0,2.0,3.0,0.0,17.0,22.0,221.0,5.0,2.0,0.0
242,1980,NHL,STL,80,45,18,17.0,0.0,107,352,281,St. Louis Blues,1657.0,85.0,359.0,12.0,61.0,338.0,16.0,11.0,5.0,6.0,0.0,42.0,50.0,281.0,14.0,10.0,0.0
243,1980,NHL,TOR,80,28,37,15.0,0.0,71,322,367,Toronto Maple Leafs,1830.0,85.0,339.0,4.0,93.0,408.0,9.0,3.0,0.0,3.0,0.0,4.0,20.0,56.0,1.0,6.0,0.0
244,1980,NHL,VAN,80,28,32,20.0,0.0,76,289,301,Vancouver Canucks,1892.0,68.0,330.0,14.0,81.0,340.0,11.0,3.0,0.0,3.0,0.0,7.0,13.0,77.0,1.0,4.0,0.0
245,1980,NHL,WAS,80,26,36,18.0,0.0,70,286,317,Washington Capitals,1872.0,74.0,394.0,14.0,83.0,318.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1980,NHL,WIN,80,9,57,14.0,0.0,32,246,400,Winnipeg Jets,1191.0,60.0,345.0,15.0,67.0,261.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1981,NHL,BOS,80,43,27,10.0,0.0,96,323,285,Boston Bruins,1266.0,65.0,289.0,7.0,54.0,291.0,11.0,11.0,6.0,5.0,0.0,43.0,39.0,253.0,9.0,14.0,0.0
248,1981,NHL,BUF,80,39,26,15.0,0.0,93,307,273,Buffalo Sabres,1425.0,63.0,301.0,10.0,57.0,281.0,4.0,4.0,1.0,3.0,0.0,11.0,17.0,104.0,6.0,4.0,0.0
249,1981,NHL,CAL,80,29,34,17.0,0.0,75,334,345,Calgary Flames,1331.0,78.0,290.0,9.0,72.0,328.0,8.0,3.0,0.0,3.0,0.0,5.0,10.0,112.0,2.0,2.0,0.0
250,1981,NHL,CHI,80,30,38,12.0,0.0,72,332,363,Chicago Black Hawks,1775.0,78.0,315.0,12.0,93.0,383.0,13.0,15.0,8.0,7.0,0.0,50.0,51.0,547.0,11.0,14.0,0.0
251,1981,NHL,COR,80,18,49,13.0,0.0,49,241,362,Colorado Rockies,1138.0,46.0,305.0,15.0,63.0,268.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1981,NHL,DET,80,21,47,12.0,0.0,54,270,351,Detroit Red Wings,1250.0,43.0,257.0,6.0,75.0,284.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,1981,NHL,EDM,80,48,17,15.0,0.0,111,417,295,Edmonton Oilers,1473.0,86.0,341.0,8.0,67.0,371.0,12.0,5.0,2.0,3.0,0.0,23.0,27.0,178.0,3.0,9.0,0.0
254,1981,NHL,HAR,80,21,41,18.0,0.0,60,264,351,Hartford Whalers,1493.0,68.0,292.0,7.0,78.0,283.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1981,NHL,LAK,80,24,41,15.0,0.0,63,314,369,Los Angeles Kings,1730.0,75.0,355.0,11.0,89.0,310.0,7.0,10.0,4.0,6.0,0.0,41.0,42.0,309.0,14.0,6.0,0.0
256,1981,NHL,MNS,80,37,23,20.0,0.0,94,346,288,Minnesota North Stars,1358.0,89.0,362.0,9.0,49.0,271.0,11.0,4.0,1.0,3.0,0.0,14.0,14.0,145.0,5.0,3.0,0.0
257,1981,NHL,MTL,80,46,17,17.0,0.0,109,360,223,Montreal Canadiens,1463.0,72.0,297.0,5.0,57.0,286.0,9.0,5.0,2.0,3.0,0.0,16.0,11.0,201.0,4.0,3.0,0.0
258,1981,NHL,NYI,80,54,16,10.0,0.0,118,385,250,New York Islanders,1328.0,80.0,284.0,3.0,65.0,332.0,16.0,19.0,15.0,4.0,0.0,85.0,52.0,458.0,23.0,16.0,1.0
259,1981,NHL,NYR,80,39,27,14.0,0.0,92,316,306,New York Rangers,1402.0,68.0,306.0,12.0,75.0,319.0,7.0,10.0,5.0,5.0,0.0,39.0,42.0,216.0,13.0,11.0,0.0
260,1981,NHL,PHI,80,38,31,11.0,0.0,87,325,313,Philadelphia Flyers,2493.0,79.0,296.0,5.0,102.0,397.0,11.0,4.0,1.0,3.0,0.0,15.0,19.0,81.0,6.0,8.0,0.0
261,1981,NHL,PIT,80,31,36,13.0,0.0,75,310,337,Pittsburgh Penguins,2212.0,99.0,404.0,14.0,92.0,399.0,8.0,5.0,2.0,3.0,0.0,13.0,22.0,112.0,3.0,4.0,0.0
262,1981,NHL,QUE,80,33,31,16.0,0.0,82,356,345,Quebec Nordiques,1757.0,83.0,314.0,9.0,71.0,331.0,16.0,16.0,7.0,9.0,0.0,48.0,60.0,414.0,15.0,15.0,0.0
263,1981,NHL,STL,80,32,40,8.0,0.0,72,315,349,St. Louis Blues,1579.0,76.0,344.0,13.0,83.0,357.0,10.0,10.0,5.0,5.0,0.0,39.0,36.0,234.0,6.0,10.0,0.0
264,1981,NHL,TOR,80,20,44,16.0,0.0,56,298,380,Toronto Maple Leafs,1888.0,58.0,292.0,6.0,99.0,363.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,1981,NHL,VAN,80,30,33,17.0,0.0,77,290,286,Vancouver Canucks,1840.0,64.0,337.0,10.0,68.0,315.0,8.0,17.0,11.0,6.0,0.0,57.0,50.0,675.0,14.0,18.0,0.0
266,1981,NHL,WAS,80,26,41,13.0,0.0,65,319,338,Washington Capitals,1932.0,93.0,418.0,11.0,67.0,309.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1981,NHL,WIN,80,33,33,14.0,0.0,80,319,332,Winnipeg Jets,1314.0,74.0,328.0,11.0,61.0,249.0,4.0,4.0,1.0,3.0,0.0,13.0,20.0,121.0,5.0,2.0,0.0
268,1982,NHL,BOS,80,50,20,10.0,0.0,110,327,228,Boston Bruins,1202.0,67.0,302.0,6.0,53.0,275.0,8.0,17.0,9.0,8.0,0.0,65.0,61.0,332.0,13.0,15.0,0.0
269,1982,NHL,BUF,80,38,29,13.0,0.0,89,318,285,Buffalo Sabres,1031.0,67.0,311.0,9.0,48.0,274.0,12.0,10.0,6.0,4.0,0.0,31.0,35.0,208.0,7.0,5.0,0.0
270,1982,NHL,CAL,80,32,34,14.0,0.0,78,321,317,Calgary Flames,1146.0,65.0,273.0,6.0,59.0,258.0,7.0,9.0,4.0,5.0,0.0,30.0,49.0,317.0,9.0,8.0,0.0
271,1982,NHL,CHI,80,47,23,10.0,0.0,104,338,268,Chicago Black Hawks,1185.0,86.0,316.0,6.0,71.0,304.0,4.0,13.0,7.0,6.0,0.0,49.0,51.0,269.0,12.0,17.0,0.0
272,1982,NHL,DET,80,21,44,15.0,0.0,57,263,344,Detroit Red Wings,1064.0,37.0,268.0,9.0,80.0,292.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,1982,NHL,EDM,80,47,21,12.0,0.0,106,424,315,Edmonton Oilers,1771.0,86.0,294.0,6.0,89.0,396.0,22.0,16.0,11.0,5.0,0.0,80.0,50.0,372.0,14.0,18.0,0.0
274,1982,NHL,HAR,80,19,54,7.0,0.0,45,261,403,Hartford Whalers,1392.0,51.0,264.0,9.0,70.0,293.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,1982,NHL,LAK,80,27,41,12.0,0.0,66,308,365,Los Angeles Kings,1367.0,81.0,340.0,14.0,94.0,296.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,1982,NHL,MNS,80,40,24,16.0,0.0,96,321,290,Minnesota North Stars,1520.0,91.0,345.0,20.0,67.0,347.0,17.0,9.0,4.0,5.0,0.0,34.0,40.0,192.0,12.0,10.0,0.0
277,1982,NHL,MTL,80,42,24,14.0,0.0,98,350,286,Montreal Canadiens,1116.0,64.0,288.0,8.0,68.0,260.0,8.0,3.0,0.0,3.0,0.0,2.0,8.0,51.0,1.0,2.0,0.0
278,1982,NHL,NJD,80,17,49,14.0,0.0,48,230,338,New Jersey Devils,1270.0,66.0,302.0,10.0,78.0,294.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,1982,NHL,NYI,80,42,26,12.0,0.0,96,302,226,New York Islanders,1266.0,69.0,267.0,3.0,55.0,331.0,10.0,20.0,15.0,5.0,0.0,94.0,53.0,329.0,20.0,13.0,1.0
280,1982,NHL,NYR,80,35,35,10.0,0.0,80,306,287,New York Rangers,1100.0,71.0,317.0,8.0,75.0,312.0,12.0,9.0,5.0,4.0,0.0,33.0,37.0,171.0,9.0,10.0,0.0
281,1982,NHL,PHI,80,49,23,8.0,0.0,106,326,240,Philadelphia Flyers,1337.0,60.0,278.0,7.0,61.0,339.0,15.0,3.0,0.0,3.0,0.0,9.0,18.0,75.0,3.0,4.0,0.0
282,1982,NHL,PIT,80,18,53,9.0,0.0,45,257,394,Pittsburgh Penguins,1859.0,81.0,358.0,15.0,110.0,396.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1982,NHL,QUE,80,34,34,12.0,0.0,80,343,336,Quebec Nordiques,1648.0,61.0,294.0,6.0,92.0,348.0,6.0,4.0,1.0,3.0,0.0,8.0,11.0,117.0,2.0,3.0,0.0
284,1982,NHL,STL,80,25,40,15.0,0.0,65,285,316,St. Louis Blues,1281.0,67.0,316.0,12.0,63.0,336.0,9.0,4.0,1.0,3.0,0.0,10.0,16.0,116.0,5.0,3.0,0.0
285,1982,NHL,TOR,80,28,40,12.0,0.0,68,293,330,Toronto Maple Leafs,1481.0,79.0,355.0,9.0,83.0,332.0,13.0,4.0,1.0,3.0,0.0,18.0,18.0,109.0,6.0,5.0,0.0
286,1982,NHL,VAN,80,30,35,15.0,0.0,75,303,309,Vancouver Canucks,1639.0,90.0,333.0,13.0,56.0,292.0,5.0,4.0,1.0,3.0,0.0,14.0,17.0,136.0,2.0,4.0,0.0
287,1982,NHL,WAS,80,39,25,16.0,0.0,94,306,283,Washington Capitals,1329.0,75.0,358.0,11.0,53.0,288.0,3.0,4.0,1.0,3.0,0.0,11.0,19.0,98.0,1.0,3.0,0.0
288,1982,NHL,WIN,80,33,39,8.0,0.0,74,311,333,Winnipeg Jets,1089.0,78.0,330.0,7.0,67.0,246.0,10.0,3.0,0.0,3.0,0.0,9.0,14.0,74.0,6.0,2.0,0.0
289,1983,NHL,BOS,80,49,25,6.0,0.0,104,336,261,Boston Bruins,1606.0,82.0,342.0,7.0,56.0,336.0,10.0,3.0,0.0,3.0,0.0,2.0,10.0,77.0,1.0,2.0,0.0
290,1983,NHL,BUF,80,48,25,7.0,0.0,103,315,257,Buffalo Sabres,1190.0,71.0,329.0,14.0,50.0,277.0,11.0,3.0,0.0,3.0,0.0,5.0,13.0,75.0,0.0,2.0,0.0
291,1983,NHL,CAL,80,34,32,14.0,0.0,82,311,314,Calgary Flames,1390.0,64.0,297.0,10.0,63.0,315.0,15.0,11.0,6.0,5.0,0.0,41.0,46.0,224.0,10.0,11.0,0.0
292,1983,NHL,CHI,80,30,42,8.0,0.0,68,277,311,Chicago Black Hawks,1358.0,67.0,332.0,7.0,74.0,342.0,8.0,5.0,2.0,3.0,0.0,14.0,18.0,134.0,3.0,4.0,0.0
293,1983,NHL,DET,80,31,42,7.0,0.0,69,298,323,Detroit Red Wings,1546.0,79.0,356.0,10.0,77.0,311.0,9.0,4.0,1.0,3.0,0.0,12.0,13.0,131.0,4.0,5.0,0.0
294,1983,NHL,EDM,80,57,18,5.0,0.0,119,446,314,Edmonton Oilers,1577.0,81.0,318.0,12.0,77.0,386.0,36.0,19.0,15.0,4.0,0.0,94.0,56.0,460.0,17.0,20.0,1.0
295,1983,NHL,HAR,80,28,42,10.0,0.0,66,288,320,Hartford Whalers,1184.0,80.0,329.0,14.0,68.0,301.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,1983,NHL,LAK,80,23,44,13.0,0.0,59,309,376,Los Angeles Kings,1265.0,75.0,360.0,17.0,82.0,294.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,1983,NHL,MNS,80,39,31,10.0,0.0,88,345,344,Minnesota North Stars,1696.0,91.0,340.0,8.0,89.0,407.0,18.0,16.0,7.0,9.0,0.0,47.0,53.0,335.0,14.0,12.0,0.0
298,1983,NHL,MTL,80,35,40,5.0,0.0,75,286,295,Montreal Canadiens,1371.0,58.0,294.0,7.0,56.0,276.0,12.0,15.0,9.0,6.0,0.0,42.0,32.0,450.0,9.0,8.0,0.0
299,1983,NHL,NJD,80,17,56,7.0,0.0,41,231,350,New Jersey Devils,1352.0,51.0,363.0,13.0,83.0,336.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1983,NHL,NYI,80,50,26,4.0,0.0,104,357,269,New York Islanders,1157.0,63.0,280.0,9.0,66.0,360.0,18.0,21.0,12.0,9.0,0.0,62.0,60.0,405.0,13.0,18.0,0.0
301,1983,NHL,NYR,80,42,29,9.0,0.0,93,314,304,New York Rangers,1471.0,74.0,295.0,11.0,76.0,347.0,12.0,5.0,2.0,3.0,0.0,14.0,13.0,87.0,4.0,0.0,0.0
302,1983,NHL,PHI,80,44,26,10.0,0.0,98,350,290,Philadelphia Flyers,1488.0,64.0,316.0,9.0,84.0,364.0,16.0,3.0,0.0,3.0,0.0,5.0,15.0,126.0,1.0,3.0,0.0
303,1983,NHL,PIT,80,16,58,6.0,0.0,38,254,390,Pittsburgh Penguins,1695.0,70.0,340.0,14.0,86.0,357.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,1983,NHL,QUE,80,42,28,10.0,0.0,94,360,278,Quebec Nordiques,1600.0,69.0,316.0,10.0,70.0,361.0,11.0,9.0,5.0,4.0,0.0,26.0,25.0,344.0,4.0,3.0,0.0
305,1983,NHL,STL,80,32,41,7.0,0.0,71,293,316,St. Louis Blues,1614.0,79.0,347.0,16.0,91.0,364.0,4.0,11.0,6.0,5.0,0.0,30.0,31.0,241.0,8.0,8.0,0.0
306,1983,NHL,TOR,80,26,45,9.0,0.0,61,303,387,Toronto Maple Leafs,1682.0,82.0,383.0,7.0,101.0,382.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,1983,NHL,VAN,80,32,39,9.0,0.0,73,306,328,Vancouver Canucks,1474.0,90.0,369.0,11.0,73.0,312.0,4.0,4.0,1.0,3.0,0.0,13.0,14.0,85.0,3.0,2.0,0.0
308,1983,NHL,WAS,80,48,27,5.0,0.0,101,308,226,Washington Capitals,1252.0,77.0,382.0,18.0,39.0,293.0,8.0,8.0,4.0,4.0,0.0,28.0,25.0,161.0,10.0,5.0,0.0
309,1983,NHL,WIN,80,31,38,11.0,0.0,73,340,374,Winnipeg Jets,1579.0,80.0,374.0,18.0,86.0,341.0,13.0,3.0,0.0,3.0,0.0,7.0,18.0,76.0,2.0,0.0,0.0
310,1984,NHL,BOS,80,36,34,10.0,0.0,82,303,287,Boston Bruins,1825.0,69.0,323.0,8.0,67.0,337.0,17.0,5.0,2.0,3.0,0.0,17.0,19.0,97.0,1.0,5.0,0.0
311,1984,NHL,BUF,80,38,28,14.0,0.0,90,290,237,Buffalo Sabres,1221.0,76.0,322.0,5.0,52.0,295.0,9.0,5.0,2.0,3.0,0.0,22.0,22.0,151.0,2.0,6.0,0.0
312,1984,NHL,CAL,80,41,27,12.0,0.0,94,363,302,Calgary Flames,1400.0,79.0,316.0,21.0,81.0,317.0,12.0,4.0,1.0,3.0,0.0,13.0,15.0,129.0,5.0,5.0,0.0
313,1984,NHL,CHI,80,38,35,7.0,0.0,83,309,299,Chicago Black Hawks,1432.0,62.0,285.0,5.0,77.0,334.0,10.0,15.0,9.0,6.0,0.0,81.0,81.0,443.0,18.0,17.0,0.0
314,1984,NHL,DET,80,27,41,12.0,0.0,66,313,357,Detroit Red Wings,1741.0,73.0,324.0,15.0,89.0,339.0,10.0,3.0,0.0,3.0,0.0,8.0,23.0,101.0,2.0,7.0,0.0
315,1984,NHL,EDM,80,49,20,11.0,0.0,109,401,298,Edmonton Oilers,1567.0,74.0,293.0,5.0,76.0,353.0,25.0,18.0,15.0,3.0,0.0,98.0,57.0,476.0,15.0,16.0,1.0
316,1984,NHL,HAR,80,30,41,9.0,0.0,69,268,318,Hartford Whalers,1606.0,73.0,321.0,12.0,62.0,324.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,1984,NHL,LAK,80,34,32,14.0,0.0,82,339,326,Los Angeles Kings,1413.0,87.0,370.0,13.0,54.0,291.0,9.0,3.0,0.0,3.0,0.0,7.0,11.0,47.0,1.0,0.0,0.0
318,1984,NHL,MNS,80,25,43,12.0,0.0,62,268,321,Minnesota North Stars,1735.0,71.0,335.0,14.0,88.0,358.0,4.0,9.0,5.0,4.0,0.0,38.0,38.0,258.0,12.0,6.0,0.0
319,1984,NHL,MTL,80,41,27,12.0,0.0,94,309,262,Montreal Canadiens,1464.0,77.0,325.0,8.0,57.0,279.0,12.0,12.0,6.0,6.0,0.0,43.0,41.0,320.0,13.0,8.0,0.0
320,1984,NHL,NJD,80,22,48,10.0,0.0,54,264,346,New Jersey Devils,1282.0,70.0,362.0,15.0,73.0,317.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,1984,NHL,NYI,80,40,34,6.0,0.0,86,345,312,New York Islanders,1516.0,71.0,277.0,7.0,68.0,386.0,14.0,10.0,4.0,6.0,0.0,25.0,28.0,256.0,7.0,7.0,0.0
322,1984,NHL,NYR,80,26,44,10.0,0.0,62,295,345,New York Rangers,1301.0,72.0,305.0,8.0,64.0,333.0,9.0,3.0,0.0,3.0,0.0,10.0,14.0,76.0,4.0,5.0,0.0
323,1984,NHL,PHI,80,53,20,7.0,0.0,113,348,241,Philadelphia Flyers,1540.0,67.0,305.0,6.0,66.0,326.0,23.0,19.0,12.0,7.0,0.0,61.0,54.0,563.0,19.0,17.0,0.0
324,1984,NHL,PIT,80,24,51,5.0,0.0,53,276,385,Pittsburgh Penguins,1493.0,62.0,363.0,22.0,74.0,311.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,1984,NHL,QUE,80,41,30,9.0,0.0,91,323,275,Quebec Nordiques,1643.0,64.0,306.0,12.0,66.0,307.0,11.0,18.0,9.0,9.0,0.0,58.0,63.0,533.0,16.0,18.0,0.0
326,1984,NHL,STL,80,37,31,12.0,0.0,86,299,288,St. Louis Blues,1301.0,66.0,301.0,9.0,73.0,306.0,7.0,3.0,0.0,3.0,0.0,5.0,9.0,72.0,2.0,2.0,0.0
327,1984,NHL,TOR,80,20,52,8.0,0.0,48,253,358,Toronto Maple Leafs,1627.0,69.0,352.0,12.0,83.0,324.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,1984,NHL,VAN,80,25,46,9.0,0.0,59,284,401,Vancouver Canucks,1451.0,61.0,313.0,14.0,89.0,302.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,1984,NHL,WAS,80,46,25,9.0,0.0,101,322,240,Washington Capitals,1161.0,79.0,331.0,7.0,68.0,286.0,6.0,5.0,2.0,3.0,0.0,12.0,14.0,90.0,4.0,3.0,0.0
330,1984,NHL,WIN,80,43,27,10.0,0.0,96,358,332,Winnipeg Jets,1540.0,75.0,315.0,17.0,70.0,319.0,12.0,8.0,3.0,5.0,0.0,26.0,35.0,194.0,10.0,9.0,0.0
331,1985,NHL,BOS,80,37,31,12.0,0.0,86,311,288,Boston Bruins,1919.0,95.0,412.0,5.0,97.0,402.0,7.0,3.0,0.0,3.0,0.0,6.0,10.0,162.0,2.0,3.0,0.0
332,1985,NHL,BUF,80,37,37,6.0,0.0,80,296,291,Buffalo Sabres,1608.0,72.0,351.0,14.0,66.0,342.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
