,playerID,year,tmID,lgID,GP,Min,W,L,T/OL,SHO,GA,PostGP,PostMin,PostW,PostL,PostT,PostSHO,PostGA,HOF,name
3476,smithbi01,1977,NYI,NHL,38.0,2154.0,20.0,8.0,8.0,2.0,95.0,1.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,Billy Smith
3477,smithbi01,1978,NYI,NHL,40.0,2261.0,25.0,8.0,4.0,1.0,108.0,5.0,315.0,4.0,1.0,0.0,1.0,10.0,1.0,Billy Smith
3478,smithbi01,1979,NYI,NHL,38.0,2114.0,15.0,14.0,7.0,2.0,104.0,20.0,1198.0,15.0,4.0,0.0,1.0,56.0,1.0,Billy Smith
3479,smithbi01,1980,NYI,NHL,41.0,2363.0,22.0,10.0,8.0,2.0,129.0,17.0,994.0,14.0,3.0,0.0,0.0,42.0,1.0,Billy Smith
3480,smithbi01,1981,NYI,NHL,46.0,2685.0,32.0,9.0,4.0,0.0,133.0,18.0,1120.0,15.0,3.0,0.0,1.0,47.0,1.0,Billy Smith
3481,smithbi01,1982,NYI,NHL,41.0,2340.0,18.0,14.0,7.0,1.0,112.0,17.0,962.0,13.0,3.0,0.0,2.0,43.0,1.0,Billy Smith
3482,smithbi01,1983,NYI,NHL,42.0,2279.0,23.0,13.0,2.0,2.0,130.0,21.0,1190.0,12.0,8.0,0.0,0.0,54.0,1.0,Billy Smith
3483,smithbi01,1984,NYI,NHL,37.0,2090.0,18.0,14.0,3.0,0.0,133.0,6.0,342.0,3.0,3.0,0.0,0.0,19.0,1.0,Billy Smith
3484,smithbi01,1985,NYI,NHL,41.0,2308.0,20.0,14.0,4.0,1.0,143.0,1.0,60.0,0.0,1.0,0.0,0.0,4.0,1.0,Billy Smith
3485,smithbi01,1986,NYI,NHL,40.0,2252.0,14.0,18.0,5.0,1.0,132.0,2.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,Billy Smith
3486,smithbi01,1987,NYI,NHL,38.0,2107.0,17.0,14.0,5.0,2.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Billy Smith
3487,smithbi01,1988,NYI,NHL,17.0,730.0,3.0,11.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Billy Smith
3530,snowga01,2001,NYI,NHL,25.0,1217.0,10.0,7.0,2.0,2.0,55.0,1.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,Garth Snow
3531,snowga01,2002,NYI,NHL,43.0,2390.0,16.0,17.0,5.0,1.0,92.0,5.0,305.0,1.0,4.0,0.0,1.0,12.0,0.0,Garth Snow
3532,snowga01,2003,NYI,NHL,39.0,2015.0,14.0,15.0,5.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garth Snow
3533,snowga01,2005,NYI,NHL,20.0,1096.0,4.0,13.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garth Snow
3536,soderto01,1994,NYI,NHL,26.0,1350.0,8.0,12.0,3.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Soderstrom
3537,soderto01,1995,NYI,NHL,51.0,2590.0,11.0,22.0,6.0,2.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Soderstrom
3538,soderto01,1996,NYI,NHL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Soderstrom
3700,terrech01,2000,NYI,NHL,8.0,443.0,2.0,4.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Terreri
3854,valiqst01,1999,NYI,NHL,6.0,193.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stephen Valiquette
3879,vanbijo01,2000,NYI,NHL,44.0,2390.0,10.0,25.0,5.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Vanbiesbrouck
4027,weekeke01,1999,NYI,NHL,36.0,2026.0,10.0,20.0,4.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Weekes
4049,weeksst01,1991,NYI,NHL,23.0,1032.0,9.0,4.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve Weeks
